"ServiceItemID","refServiceId","refServiceCategoryId","ServiceName","ServiceDesc","ServiceValue","ServiceAvailability","IsSpecial","ServiceStartTime","ServiceEndTime","ServiceCategory","ServiceType"
1,6,1,"Chicken Baby Chimis","Lightly Fried mini chimichangas filled with seasoned chicken and cheese. Served with guacamole, sour cream and crema",8.79,1,0,0,0,"Appetizers","Restaurant"
2,6,1,"Jalapeno Baby chimis","Jalapeno and cream cheese bites served with cool cucumber ranch of dipping",8.79,1,0,0,0,"Appetizers","Restaurant"
3,6,1,"Hector's Quesadilla","Melted cheese with mild red and green chilies. Served with guacamole and sour cream",7.79,1,0,0,0,"Appetizers","Restaurant"
4,6,1,"Jack Crisp","Crispy flour tortilla, salsa fresca and Monterey Jack chseese with choice of avocado or chipotle BBQ chicken. Seved with chipotle source cream",7.49,1,0,0,0,"Appetizers","Restaurant"
5,6,1,"Queso Fundilo","A skillet of melted cheese, tomatillo sauce, salsa fresca and chipotle BBQ seasoning",8.79,1,0,0,0,"Appetizers","Restaurant"
6,6,1,"Nachos el Deluxo","Refritos, hand-cut chips, cheese, mild red and green chilies, with guacamole and sour cream",9.99,1,0,0,0,"Appetizers","Restaurant"
7,6,2,"Chicken Sunburst Chop Salad","Marinated chicken, grilled vegetables and avacado over chopped lettuce",12.49,1,0,0,0,"Salads","Restaurant"
8,6,2,"Mexican Salad","Crisp lettuce, salsa fresca, roasted corn salsa, black beans, avocado, cotija cheese and crema",12.49,1,0,0,0,"Salads","Restaurant"
9,6,2,"Ahi Tuna Salad","Seared rare Ahi tuna over spinach, cucumbers, tomatoes, red peppers, pickled onions and orange slaw. Drizzled with chimichurri",13.99,1,0,0,0,"Salads","Restaurant"
10,6,2,"Avocado Shrimp Chop Salad","Sauteed Chrimp, avocado, grilled red peppers, salsa fresca and cucumbers atop crisp chopped lettuce",12.49,1,0,0,0,"Salads","Restaurant"
11,6,3,"Carne Asada","Grilled steak, salsa fresca and hacienda sauce. With our Raja's blend of peppers and onions tossed in crema",15.99,1,0,0,0,"Tio's Grill","Restaurant"
12,6,3,"Grilled Chicken","Juicy, grilled chicken with your choice of sauce: Tequilla Cilantro, Chimichurri or Adobo",14.29,1,0,0,0,"Tio's Grill","Restaurant"
13,6,3,"Habanerro Lime Salmon","Seared salmon with habanero lime glaze, Fire Roasted Mexican Corn and Mexican rice",16.99,1,0,0,0,"Tio's Grill","Restaurant"
14,6,3,"El Diablo Shrimp","Spicy shrimp over sauteed spinach, with cotija cheese and white corn tortillas",14.29,1,0,0,0,"Tio's Grill","Restaurant"
15,6,3,"NY Strip","Our tender 12oz sirloin strip to your liking. For a tasty alternative, ask for it Guadalajara or Chimichurri style",19.99,1,0,0,0,"Tio's Grill","Restaurant"
16,6,3,"Gringo Burger","A half-pound ground beef burger with lettuce and tomato",8.99,1,0,0,0,"Tio's Grill","Restaurant"
